VEND;CNPJ;CLIENTE;DIA;TIPO;LATITUDE;LONGITUDE
roxanne;5,25E+12;INOVARE COMERCIO SERVIC;04/05/2026;MANUTENCAO;-1,4144818;-48,476677
roxanne;5,25E+12;INOVARE COMERCIO SERVIC;26/05/2026;MANUTENCAO;-1,4144818;-48,476677
roxanne;9,60E+12;JARDIM SECRETO COMERCIO;07/05/2026;MANUTENCAO;-1,4624821;-48,4929445
roxanne;4,99E+13;JOAO ROBERTO SENA DA CO;08/05/2026;NEGOCIACAO;-1,51184609;-48,68819134
roxanne;2,24E+13;KAATECH FOOD MACHINES C;15/05/2026;NEGOCIACAO;-1,2814;-48,4556
roxanne;5,45E+12;KSB ELETRONICA LTDA - E;27/05/2026;MANUTENCAO;-1,4520509;-48,4999291
roxanne;3,05E+13;L E R RESQUE COMERCIO D;20/05/2026;MANUTENCAO;-1,4423978;-48,4809656
roxanne;4,28E+13;LABODENTAL REPRESENTACO;06/05/2026;MANUTENCAO;-1,4563118;-48,4771393
roxanne;4,04E+13;LUAR CABECEIRAS E DECOR;27/05/2026;MANUTENCAO;-1,4404472;-48,4889201
roxanne;4,33E+12;M J NOVAES DE LIMA E CI;28/05/2026;MANUTENCAO;-1,2834263;-48,4555471
roxanne;2,90E+13;M J OLIVEIRA GUEDES EIR;06/05/2026;MANUTENCAO;-1,4579928;-48,4798357
roxanne;2,47E+13;M L COMERCIO DE ILUMINA;15/05/2026;NEGOCIACAO;-1,4599271;-48,4823688
roxanne;5,10E+12;MARTINS DA FONSECA COME;22/05/2026;MANUTENCAO;-1,4233506;-48,4792327
roxanne;2,62E+13;MELLUZZI DISTRIBUIDORA;28/05/2026;MANUTENCAO;-1,3504773;-48,4121822
roxanne;1,05E+13;MORGADO & XERFAN LTDA;25/05/2026;MANUTENCAO;-1,4555117;-48,4852479
roxanne;4,99E+13;MS  EMPRENDIMENTOS LTDA;28/05/2026;NEGOCIACAO;-1,4358331;-48,4740699
roxanne;3,48E+13;NATUERVAS COMERCIO DE P;28/05/2026;MANUTENCAO;-1,3587094;-48,4399055
roxanne;5,34E+13;NUNES E REIS LOCACAO E;11/05/2026;MANUTENCAO;-1,4567662;-48,4977639
roxanne;5,34E+13;NUNES E REIS LOCACAO E;25/05/2026;MANUTENCAO;-1,4567662;-48,4977639
roxanne;3,60E+13;P E W COMERCIO DE MOVEI;28/05/2026;MANUTENCAO;-1,4570359;-48,4868026
roxanne;2,39E+13;PAINEL REPRESENTACOES E;08/05/2026;MANUTENCAO;-1,3386039;-48,4682311
roxanne;7,88E+12;PARA CERAMICA INDUSTRIA;06/05/2026;NEGOCIACAO;-1,6620374;-48,394128
roxanne;1,66E+13;PARAMED DISTRIBUIDORA D;27/05/2026;MANUTENCAO;-1,4014836;-48,4254605
